,Age,StrService,HoursPerDay,WhileWorking,Instrumentalist,Composer,FavGenre,Exploratory,ForeignLanguages,FrequencyClassical,FrequencyCountry,FrequencyEDM,FrequencyFolk,FrequencyGospel,FrequencyHipHop,FrequencyJazz,FrequencyKpop,FrequencyLatin,FrequencyLofi,FrequencyMetal,FrequencyPop,FrequencyR&B,FrequencyRap,FrequencyRock,FrequencyVideoGameMusic,Anxiety,Depression,Insomnia,OCD,MusicEffects,BPM
23,24,YouTube Music,6.0,Да,Да,Нет,Classical,Нет,Нет,Очень часто,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,6,7,2,0,Нет эффекта,115.0
24,15,Spotify,3.0,Да,Да,Да,Classical,Да,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Иногда,Никогда,Иногда,Никогда,Никогда,Никогда,Иногда,9,6,8,5,Улучшение,118.0
25,17,Spotify,2.0,Да,Да,Нет,Classical,Да,Да,Очень часто,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Редко,Редко,Иногда,Редко,Никогда,Иногда,Иногда,7,8,2,5,Улучшение,115.0
26,69,Pandora,4.0,Да,Да,Да,Classical,Да,Да,Очень часто,Иногда,Никогда,Иногда,Иногда,Редко,Очень часто,Редко,Редко,Редко,Никогда,Иногда,Иногда,Никогда,Очень часто,Никогда,1,1,2,0,Улучшение,72.0
27,22,YouTube Music,3.0,Нет,Да,Нет,Classical,Да,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Никогда,8,2,4,0,Нет эффекта,113.0
28,20,YouTube Music,3.0,Да,Да,Да,Classical,Да,Нет,Очень часто,Иногда,Редко,Иногда,Редко,Редко,Очень часто,Редко,Редко,Никогда,Редко,Иногда,Иногда,Редко,Редко,Редко,2,3,3,0,Улучшение,100.0
29,31,Не пользуюсь,4.0,Да,Да,Нет,Classical,Да,Да,Очень часто,Редко,Никогда,Редко,Редко,Никогда,Иногда,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Никогда,Иногда,Иногда,8,8,9,3,Улучшение,55.0
30,16,Spotify,2.0,Да,Да,Нет,Classical,Нет,Нет,Очень часто,Редко,Никогда,Редко,Никогда,Редко,Редко,Никогда,Никогда,Редко,Никогда,Очень часто,Никогда,Никогда,Редко,Редко,7,5,3,1,Улучшение,155.0
31,17,Spotify,1.5,Да,Нет,Нет,Classical,Да,Да,Очень часто,Редко,Никогда,Редко,Никогда,Никогда,Иногда,Никогда,Никогда,Иногда,Никогда,Очень часто,Редко,Никогда,Никогда,Никогда,7,5,1,2,Нет эффекта,174.0
32,58,YouTube Music,1.0,Да,Да,Да,Classical,Да,Нет,Иногда,Редко,Никогда,Редко,Иногда,Редко,Иногда,Редко,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,0,0,2,1,Улучшение,80.0
33,49,YouTube Music,0.5,Нет,Нет,Нет,Classical,Нет,Нет,Очень часто,Иногда,Редко,Иногда,Очень часто,Иногда,Иногда,Редко,Редко,Никогда,Редко,Иногда,Иногда,Иногда,Редко,Редко,3,2,2,2,Улучшение,114.0
34,64,YouTube Music,2.0,Да,Нет,Нет,Classical,Нет,Нет,Очень часто,Никогда,Редко,Очень часто,Никогда,Редко,Редко,Никогда,Редко,Редко,Никогда,Очень часто,Редко,Никогда,Редко,Никогда,5,2,4,0,Улучшение,115.0
35,34,Spotify,3.0,Да,Нет,Нет,Classical,Нет,Да,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Иногда,Редко,Никогда,Никогда,Иногда,Иногда,0,0,0,0,Нет эффекта,95.0
36,29,Spotify,4.0,Да,Нет,Нет,Classical,Да,Нет,Очень часто,Никогда,Очень часто,Никогда,Никогда,Никогда,Иногда,Никогда,Редко,Редко,Никогда,Иногда,Никогда,Никогда,Редко,Редко,5,6,7,7,Нет эффекта,120.0
37,23,Spotify,2.0,Да,Да,Нет,Classical,Да,Да,Очень часто,Никогда,Редко,Редко,Никогда,Никогда,Иногда,Никогда,Редко,Иногда,Никогда,Очень часто,Редко,Никогда,Очень часто,Никогда,8,7,6,2,Улучшение,171.0
38,21,Не пользуюсь,1.0,Да,Да,Нет,Classical,Нет,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,3,0,0,5,Улучшение,92.0
39,49,Не пользуюсь,8.0,Да,Да,Да,Classical,Нет,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Редко,Никогда,4,8,9,1,Улучшение,68.0
40,42,Другое,0.25,Нет,Да,Нет,Classical,Да,Да,Очень часто,Редко,Никогда,Никогда,Никогда,Никогда,Иногда,Никогда,Редко,Никогда,Редко,Иногда,Редко,Редко,Иногда,Никогда,7,9,4,5,Улучшение,150.0
41,21,Spotify,1.5,Да,Да,Нет,Classical,Да,Да,Очень часто,Редко,Очень часто,Очень часто,Иногда,Иногда,Очень часто,Никогда,Редко,Иногда,Редко,Очень часто,Редко,Иногда,Иногда,Иногда,4,6,0,0,Нет эффекта,110.0
42,18,Не пользуюсь,1.0,Да,Нет,Нет,Classical,Нет,Нет,Иногда,Иногда,Редко,Редко,Редко,Иногда,Иногда,Редко,Редко,Очень часто,Никогда,Редко,Редко,Редко,Редко,Редко,2,0,0,5,Нет эффекта,120.0
43,18,Не пользуюсь,1.0,Нет,Да,Нет,Classical,Нет,Нет,Очень часто,Никогда,Иногда,Никогда,Никогда,Иногда,Редко,Никогда,Никогда,Никогда,Никогда,Иногда,Никогда,Редко,Никогда,Редко,7,0,0,0,Нет эффекта,117.0
44,19,Spotify,5.0,Да,Да,Нет,Classical,Нет,Нет,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,2,3,2,1,Улучшение,170.0
45,18,Spotify,3.0,Да,Да,Нет,Country,Да,Нет,Никогда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Никогда,Редко,Никогда,7,7,4,7,Нет эффекта,110.0
46,19,Spotify,2.0,Да,Нет,Нет,Country,Да,Нет,Никогда,Очень часто,Редко,Иногда,Никогда,Иногда,Никогда,Никогда,Никогда,Редко,Никогда,Редко,Никогда,Очень часто,Никогда,Никогда,2,1,2,0,Улучшение,88.0
47,30,Другое,1.0,Нет,Нет,Нет,Country,Нет,Нет,Никогда,Очень часто,Никогда,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Никогда,Очень часто,Редко,Иногда,Иногда,Редко,8,10,2,0,Улучшение,119.0
48,35,Spotify,4.0,Да,Да,Да,Country,Да,Да,Редко,Очень часто,Редко,Иногда,Редко,Очень часто,Иногда,Редко,Иногда,Иногда,Иногда,Иногда,Редко,Иногда,Очень часто,Никогда,9,9,5,1,Улучшение,90.0
49,21,Spotify,3.0,Да,Нет,Нет,Country,Да,Нет,Редко,Очень часто,Никогда,Иногда,Редко,Редко,Никогда,Никогда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Очень часто,Иногда,0,8,0,5,Улучшение,108.0
50,20,Spotify,3.0,Нет,Нет,Нет,Country,Да,Да,Редко,Очень часто,Редко,Иногда,Никогда,Иногда,Редко,Иногда,Никогда,Никогда,Никогда,Очень часто,Очень часто,Редко,Иногда,Никогда,8,4,3,4,Улучшение,119.0
51,19,Spotify,2.0,Да,Нет,Нет,Country,Да,Нет,Редко,Очень часто,Редко,Иногда,Редко,Никогда,Никогда,Никогда,Редко,Редко,Иногда,Редко,Никогда,Никогда,Иногда,Никогда,7,2,0,7,Нет эффекта,125.0
52,20,Apple Music,8.0,Да,Да,Да,Country,Да,Нет,Никогда,Очень часто,Никогда,Иногда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Редко,Иногда,Никогда,8,9,2,5,Нет эффекта,120.0
53,22,YouTube Music,6.0,Да,Нет,Нет,Country,Да,Нет,Никогда,Очень часто,Никогда,Редко,Никогда,Иногда,Никогда,Никогда,Редко,Никогда,Иногда,Никогда,Никогда,Иногда,Очень часто,Редко,5,5,3,3,Улучшение,103.0
54,19,Spotify,5.0,Да,Нет,Нет,Country,Да,Да,Редко,Очень часто,Никогда,Очень часто,Иногда,Редко,Иногда,Никогда,Очень часто,Редко,Никогда,Иногда,Иногда,Редко,Иногда,Никогда,7,6,8,4,Улучшение,118.0
55,21,Spotify,3.0,Да,Нет,Нет,Country,Да,Нет,Никогда,Очень часто,Редко,Иногда,Редко,Иногда,Никогда,Никогда,Никогда,Никогда,Редко,Иногда,Редко,Иногда,Иногда,Никогда,6,5,5,3,Улучшение,86.0
56,19,Apple Music,8.0,Да,Нет,Да,Country,Да,Нет,Никогда,Очень часто,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Никогда,Редко,Иногда,Редко,7,5,6,5,Улучшение,109.0
57,17,Spotify,1.0,Да,Да,Нет,Country,Нет,Нет,Никогда,Очень часто,Никогда,Редко,Редко,Никогда,Редко,Никогда,Никогда,Никогда,Редко,Редко,Редко,Никогда,Иногда,Редко,8,5,2,3,Улучшение,105.0
58,21,Spotify,1.0,Нет,Нет,Нет,Country,Нет,Нет,Никогда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,3,0,2,0,Улучшение,135.0
59,35,Spotify,4.0,Нет,Нет,Нет,Country,Да,Нет,Никогда,Очень часто,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Иногда,Никогда,Никогда,Иногда,Редко,1,1,1,0,Нет эффекта,110.0
60,22,Spotify,6.0,Да,Да,Нет,Country,Да,Нет,Редко,Очень часто,Иногда,Очень часто,Редко,Иногда,Иногда,Никогда,Редко,Иногда,Иногда,Иногда,Редко,Иногда,Очень часто,Иногда,4,8,2,2,Улучшение,110.0
61,70,Не пользуюсь,2.0,Да,Нет,Нет,Country,Нет,Нет,Иногда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,8,5,6,1,Улучшение,88.0
62,43,Другое,1.0,Нет,Нет,Нет,Country,Нет,Нет,Никогда,Очень часто,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Никогда,Никогда,Редко,Никогда,5,1,1,1,Улучшение,110.0
63,20,Spotify,1.5,Да,Нет,Нет,Country,Нет,Нет,Редко,Очень часто,Иногда,Никогда,Никогда,Иногда,Иногда,Иногда,Редко,Никогда,Никогда,Иногда,Никогда,Иногда,Иногда,Никогда,0,2,0,1,Улучшение,110.0
64,36,YouTube Music,3.0,Да,Нет,Нет,Country,Нет,Да,Очень часто,Очень часто,Иногда,Никогда,Никогда,Редко,Никогда,Очень часто,Иногда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Никогда,1,0,1,0,Улучшение,105.0
65,17,Spotify,4.0,Да,Да,Да,Country,Да,Да,Иногда,Очень часто,Никогда,Никогда,Никогда,Редко,Иногда,Очень часто,Редко,Иногда,Никогда,Очень часто,Редко,Редко,Иногда,Никогда,2,0,0,2,Улучшение,110.0
66,26,Spotify,1.0,Нет,Нет,Нет,Country,Да,Нет,Иногда,Очень часто,Иногда,Редко,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Иногда,Редко,4,1,1,6,Улучшение,120.0
67,29,Apple Music,1.0,Нет,Нет,Нет,Country,Да,Нет,Иногда,Очень часто,Никогда,Иногда,Иногда,Иногда,Редко,Никогда,Редко,Никогда,Редко,Иногда,Редко,Редко,Очень часто,Никогда,9,3,2,0,Нет эффекта,163.0
68,14,Другое,7.0,Да,Да,Нет,Country,Да,Нет,Редко,Очень часто,Иногда,Иногда,Очень часто,Иногда,Никогда,Никогда,Никогда,Редко,Иногда,Очень часто,Иногда,Иногда,Очень часто,Редко,7,3,1,2,Улучшение,108.0
69,19,YouTube Music,8.0,Да,Нет,Нет,EDM,Да,Нет,Редко,Никогда,Очень часто,Никогда,Никогда,Иногда,Редко,Редко,Редко,Редко,Никогда,Редко,Редко,Иногда,Редко,Редко,1,0,0,1,Улучшение,125.0
70,20,Spotify,4.0,Да,Нет,Нет,EDM,Да,Нет,Редко,Редко,Очень часто,Иногда,Редко,Иногда,Редко,Иногда,Никогда,Иногда,Редко,Очень часто,Очень часто,Иногда,Очень часто,Редко,7,2,8,6,Улучшение,161.0
71,17,Apple Music,2.0,Да,Да,Нет,EDM,Да,Нет,Никогда,Редко,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Редко,Очень часто,Иногда,Иногда,Иногда,Очень часто,Редко,0,0,0,0,Улучшение,128.0
72,18,YouTube Music,2.0,Нет,Нет,Нет,EDM,Нет,Да,Иногда,Редко,Очень часто,Никогда,Редко,Редко,Редко,Никогда,Никогда,Иногда,Никогда,Очень часто,Редко,Иногда,Редко,Очень часто,9,0,5,10,Улучшение,150.0
73,20,Spotify,3.0,Нет,Нет,Да,EDM,Да,Да,Редко,Иногда,Очень часто,Никогда,Никогда,Иногда,Никогда,Редко,Никогда,Иногда,Никогда,Иногда,Никогда,Иногда,Иногда,Редко,0,3,7,0,Улучшение,121.0
74,22,Spotify,1.0,Нет,Нет,Да,EDM,Да,Нет,Никогда,Никогда,Очень часто,Никогда,Редко,Иногда,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Очень часто,Иногда,Иногда,Никогда,2,7,5,0,Улучшение,128.0
75,22,Spotify,10.0,Нет,Да,Да,EDM,Нет,Да,Иногда,Иногда,Очень часто,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Редко,Никогда,Редко,Никогда,Иногда,Иногда,4,7,7,3,Улучшение,128.0
76,32,Другое,1.0,Нет,Нет,Нет,EDM,Да,Нет,Редко,Никогда,Очень часто,Редко,Редко,Иногда,Редко,Никогда,Редко,Редко,Никогда,Иногда,Редко,Редко,Редко,Никогда,3,6,2,0,Нет эффекта,120.0
77,25,Spotify,1.0,Да,Нет,Нет,EDM,Нет,Нет,Никогда,Никогда,Очень часто,Никогда,Никогда,Редко,Никогда,Редко,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Редко,Редко,0,8,0,0,Улучшение,107.0
78,19,Spotify,8.0,Да,Нет,Нет,EDM,Да,Нет,Никогда,Никогда,Очень часто,Никогда,Никогда,Иногда,Никогда,Редко,Никогда,Никогда,Редко,Иногда,Иногда,Иногда,Иногда,Никогда,6,8,8,0,Улучшение,174.0
79,49,Другое,1.0,Да,Нет,Нет,EDM,Да,Нет,Иногда,Никогда,Очень часто,Иногда,Никогда,Иногда,Редко,Редко,Редко,Иногда,Иногда,Иногда,Редко,Редко,Очень часто,Иногда,8,8,2,0,Улучшение,156.0
80,25,Spotify,2.0,Да,Нет,Да,EDM,Да,Нет,Редко,Редко,Очень часто,Редко,Никогда,Иногда,Иногда,Иногда,Никогда,Редко,Очень часто,Очень часто,Редко,Иногда,Очень часто,Редко,6,4,1,0,Улучшение,128.0
81,31,YouTube Music,6.0,Да,Нет,Нет,EDM,Да,Да,Редко,Редко,Очень часто,Редко,Никогда,Иногда,Никогда,Никогда,Никогда,Редко,Редко,Иногда,Иногда,Иногда,Иногда,Иногда,8,6,5,6,Нет эффекта,136.0
82,25,Apple Music,2.0,Нет,Нет,Нет,EDM,Нет,Да,Никогда,Иногда,Очень часто,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Очень часто,Редко,10,3,1,4,Улучшение,171.0
83,15,Spotify,2.0,Да,Нет,Нет,EDM,Нет,Нет,Никогда,Никогда,Очень часто,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Иногда,Никогда,Редко,9,6,1,7,Нет эффекта,171.0
84,20,Spotify,2.0,Да,Да,Нет,EDM,Нет,Да,Иногда,Никогда,Очень часто,Никогда,Никогда,Иногда,Никогда,Иногда,Никогда,Никогда,Никогда,Иногда,Никогда,Никогда,Иногда,Иногда,9,7,5,7,Улучшение,174.0
85,19,Другое,5.0,Да,Нет,Нет,EDM,Да,Да,Редко,Никогда,Очень часто,Иногда,Никогда,Иногда,Редко,Никогда,Иногда,Очень часто,Очень часто,Редко,Никогда,Очень часто,Иногда,Редко,0,1,3,5,Улучшение,97.0
86,30,Spotify,1.0,Да,Нет,Нет,EDM,Да,Да,Никогда,Никогда,Очень часто,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Иногда,Никогда,Никогда,4,4,4,0,Улучшение,200.0
87,22,Spotify,2.0,Да,Да,Да,EDM,Да,Да,Редко,Иногда,Очень часто,Иногда,Редко,Иногда,Иногда,Редко,Редко,Иногда,Очень часто,Иногда,Иногда,Очень часто,Иногда,Очень часто,6,4,0,1,Улучшение,120.0
88,22,Spotify,3.0,Да,Да,Да,EDM,Да,Нет,Редко,Редко,Очень часто,Иногда,Редко,Иногда,Редко,Никогда,Никогда,Редко,Иногда,Иногда,Иногда,Иногда,Очень часто,Очень часто,5,4,2,0,Улучшение,140.0
89,16,Spotify,3.0,Да,Нет,Нет,EDM,Да,Да,Редко,Никогда,Очень часто,Никогда,Никогда,Очень часто,Иногда,Очень часто,Никогда,Редко,Иногда,Очень часто,Редко,Очень часто,Очень часто,Очень часто,4,2,0,0,Улучшение,100.0
90,16,Spotify,10.0,Да,Да,Нет,EDM,Да,Да,Редко,Редко,Очень часто,Иногда,Никогда,Редко,Иногда,Редко,Никогда,Редко,Редко,Очень часто,Иногда,Иногда,Иногда,Иногда,10,9,3,2,Улучшение,180.0
91,26,Spotify,6.0,Да,Нет,Нет,EDM,Нет,Да,Никогда,Никогда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Редко,Редко,Никогда,Редко,10,10,8,2,Нет эффекта,156.0
92,18,YouTube Music,10.0,Да,Нет,Нет,EDM,Да,Нет,Никогда,Никогда,Очень часто,Иногда,Никогда,Иногда,Никогда,Никогда,Никогда,Иногда,Никогда,Очень часто,Очень часто,Очень часто,Никогда,Никогда,10,9,9,8,Улучшение,140.0
93,16,Другое,1.0,Нет,Нет,Нет,EDM,Да,Нет,Никогда,Никогда,Очень часто,Никогда,Никогда,Иногда,Редко,Никогда,Никогда,Иногда,Иногда,Редко,Редко,Редко,Иногда,Иногда,7,4,6,3,Улучшение,140.0
94,18,YouTube Music,6.0,Да,Нет,Нет,EDM,Да,Да,Очень часто,Редко,Очень часто,Редко,Иногда,Очень часто,Иногда,Никогда,Иногда,Очень часто,Иногда,Очень часто,Очень часто,Очень часто,Иногда,Очень часто,5,5,7,0,Улучшение,91.0
95,29,Spotify,8.0,Да,Нет,Нет,EDM,Нет,Да,Редко,Иногда,Очень часто,Иногда,Никогда,Иногда,Редко,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Очень часто,Очень часто,Очень часто,6,7,4,1,Улучшение,140.0
96,20,Spotify,1.0,Нет,Нет,Нет,EDM,Да,Нет,Редко,Никогда,Очень часто,Никогда,Никогда,Иногда,Никогда,Редко,Редко,Очень часто,Редко,Очень часто,Никогда,Никогда,Никогда,Никогда,5,9,6,1,Улучшение,102.0
97,18,Не пользуюсь,4.0,Да,Да,Нет,EDM,Нет,Да,Очень часто,Никогда,Очень часто,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Никогда,Иногда,Никогда,Редко,Редко,Иногда,8,7,10,6,Улучшение,150.0
98,22,Spotify,5.0,Да,Нет,Нет,EDM,Да,Да,Никогда,Никогда,Очень часто,Никогда,Никогда,Очень часто,Никогда,Никогда,Никогда,Очень часто,Никогда,Очень часто,Очень часто,Очень часто,Очень часто,Иногда,1,0,0,1,Нет эффекта,138.0
99,18,Spotify,6.0,Да,Нет,Нет,EDM,Да,Да,Редко,Никогда,Очень часто,Никогда,Никогда,Иногда,Редко,Очень часто,Очень часто,Очень часто,Никогда,Очень часто,Очень часто,Очень часто,Редко,Иногда,0,2,1,5,Улучшение,90.0
100,26,Spotify,2.0,Да,Нет,Нет,EDM,Да,Да,Редко,Иногда,Очень часто,Иногда,Никогда,Иногда,Редко,Никогда,Иногда,Редко,Редко,Иногда,Редко,Иногда,Очень часто,Никогда,2,2,0,3,Нет эффекта,128.0
101,30,Apple Music,3.0,Да,Нет,Нет,EDM,Да,Да,Редко,Никогда,Очень часто,Никогда,Редко,Иногда,Никогда,Очень часто,Никогда,Никогда,Редко,Очень часто,Иногда,Иногда,Иногда,Никогда,7,5,7,7,Улучшение,121.0
